home_fd,away_fd,match_round,content_type,highlight_idx,player,minute,is_goal,event_type,commentary
Ein Frankfurt,Leverkusen,0,highlight,4,Jeremie Frimpong,76,1,shot,"[calm, building] Frimpong prowling the box, one of nine for the campaign... [EXCITED] here's the chance! [SHOUTING] GOOOAAL! DOELPUNT! [crowd cheering] [pause] [warmly] And that's four—Leverkusen absolutely dominant tonight, their fullback's brilliance on full display."
Ein Frankfurt,Leverkusen,0,highlight,5,Victor Okoh Boniface,88,1,shot,"[calm, building] The defense crumbles in the 88th minute...

[EXCITED] Boniface strikes—

[SHOUTING] GOOOAAL! GOOOAAL! OYA! [crowd cheering]

[pause]

[warmly] One of fourteen for the campaign. Leverkusen's dominance complete. Frankfurt broken. Five-to-one."
Ein Frankfurt,Leverkusen,0,intro,-1,,0,0,intro,"[calm, building] Willkommen in der BayArena, wo Die Werkself heute einen beeindruckenden Abend gegen Eintracht Frankfurt erleben werden. [EXCITED] Xhaka, Palacios und Frimpong schreiben heute ein Torfeuerwerk — [warmly] ein dominanter 5-1 Sieg!"
Bochum,Leverkusen,0,highlight,0,Felix Passlack,14,0,red_card,"[SHOCKED] [gasps] Passlack sees red in the fourteenth minute, Bochum down to ten! [dramatically]"
Bochum,Leverkusen,0,highlight,1,Patrik Schick,40,1,shot,"[calm, building] Schick receives it on the angle, improbable position... [EXCITED] he shapes to shoot— [SHOUTING] GOOOAAAAAL! GÓL! Neuvěřitelné! [crowd cheering] [pause] [warmly] What a clinical finish from an impossible angle. One of his seven for the campaign begins here—Leverkusen strike first."
Bochum,Leverkusen,0,highlight,2,Victor Okoh Boniface,46,1,shot,"[calm, building] Boniface poised at the far post, Leverkusen's dominance crystallizing...

[EXCITED] He strikes! Clinical! Unstoppable!

[SHOUTING] GOOOAAL! GOAL-O! OYA! [crowd cheering]

[pause]

[warmly] One of fourteen for the campaign—the Nigerian's clinical finishing defining their magnificent season."
Bochum,Leverkusen,0,highlight,3,Amine Adli,75,1,shot,"[calm, building] Adli on the wing, space opening... [EXCITED] he cuts inside, difficult angle here— [SHOUTING] GOOOAAL! BUUUT! [crowd cheering] [pause] [warmly] One of four for Adli this season, and Leverkusen simply unstoppable tonight. Three-nil."
Bochum,Leverkusen,0,highlight,4,Josip Stanišić,85,1,shot,"[calm, building] Stanišić lines it up from that impossible angle... [EXCITED] he strikes it! [SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering] [pause] [warmly] What a finish from the left—Leverkusen simply unstoppable tonight. Four-nil, and the Invincibles march on. GOAAAAAL!"
Bochum,Leverkusen,0,highlight,5,Alejandro Grimaldo García,92,1,shot,"[calm, building] Into the final moments, Leverkusen closing this out... [EXCITED] Grimaldo with the ball, one touch, clinical finish! [SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering] [pause] [warmly] Alejandro Grimaldo García, five goals now—Leverkusen's dominance complete. GOAAAAAL!"
Bochum,Leverkusen,0,intro,-1,,0,0,intro,"[calm, building] Willkommen zur BayArena, wo die Werkself heute gegen Bochum antreten. [EXCITED] Ein überragendes Leverkusen demoliert die Gäste mit fünf Toren – Adli, Stanišić und Schick treffen [warmly] in einem dominanten Auftritt."
Leverkusen,Augsburg,0,highlight,0,Victor Okoh Boniface,11,1,shot,"[calm, building] Boniface prowls the box, Leverkusen pressing... [EXCITED] here's the chance! [SHOUTING] GOOOAAL! BONIFACE! [crowd cheering] [pause] [warmly] One of fourteen for the campaign — the clinical finisher strikes first. Oya!"
Leverkusen,Augsburg,0,highlight,1,Robert Andrich,26,1,shot,"[calm, building] Andrich prowls the penalty area... [EXCITED] he strikes it clean, powerful! [SHOUTING] GOAAAAAL! TOOOOOR! [crowd cheering] [pause] [warmly] One of his four for the season—the midfielder adds his crucial touch. Leverkusen commanding now, two-nil ahead."
Leverkusen,Augsburg,0,highlight,2,Mert Kömür,61,1,shot,"[calm, building] Kömür sees the chance... [EXCITED] he strikes it, difficult angle, can he find the net?! [SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering] [pause] [warmly] Mert Kömür, the sixty-first minute—Augsburg claws one back, 2-1. A moment of pride before the final whistle.

GOAAAAAL!"
Leverkusen,Augsburg,0,intro,-1,,0,0,intro,"[calm, building] Willkommen zur BayArena, wo Die Werkself gegen Augsburg antreten. [EXCITED] Ein hart umkämpftes Duell endet 2:1 — Andrich und Boniface sichern den Sieg [warmly] für Leverkusen."
Leverkusen,Hoffenheim,0,highlight,0,Maximilian Beier,32,1,shot,"[calm, building] Beier shapes to shoot from twelve yards... [EXCITED] here's the chance, HERE IT IS! [SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering] [pause] [warmly] Maximilian Beier, thirty-two minutes, Hoffenheim strike first—but this lead, it will not last the distance."
Leverkusen,Hoffenheim,0,highlight,1,Robert Andrich,87,1,shot,"[calm, building] Andrich circling... the chance is there...

[EXCITED] He strikes it! Difficult angle, but he's found it!

[SHOUTING] GOOOAAAAL! TOOOOOR! [crowd cheering]

[pause]

[warmly] One of his four for the season—Andrich equalizes! The midfielder delivers when Leverkusen needs him most. TOOOOOR!"
Leverkusen,Hoffenheim,0,highlight,2,Patrik Schick,90,1,shot,"[calm, building] Schick poised in the box, one chance to settle it... [EXCITED] HE STRIKES! [SHOUTING] GOOOAAAAAL! GÓL! Neuvěřitelné! [crowd cheering] [pause] [warmly] One of seven for the campaign—and the decisive one. Leverkusen 2-1. The winner."
Leverkusen,Hoffenheim,0,intro,-1,,0,0,intro,"[calm, building] Willkommen in der BayArena, wo Bayer Leverkusen gegen Hoffenheim antreten. [quietly] Ein enger Kampf erwartet uns heute — Die Werkself musste tief graben, um mit Toren von Andrich und Schick [warmly] diesen wichtigen Sieg zu sichern."
Darmstadt 98,Leverkusen,0,highlight,0,Oscar Vilhelmsson,27,0,shot,"[calm, building] Vilhelmsson into the box, twenty-seven minutes, Darmstadt sensing opportunity... [EXCITED] He strikes it! [SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering] [pause] [warmly] Oscar Vilhelmsson levels it—a vital moment in their fight.

GOAAAAAL!"
Darmstadt 98,Leverkusen,0,highlight,1,Nathan Tella,32,1,shot,"[calm, building] Tella sizes it up from a difficult angle... [EXCITED] he strikes it! [SHOUTING] GOOOAAL! BUUUT! [crowd cheering] [pause] [warmly] One of his five for the campaign—and what a statement to break the deadlock. Leverkusen ahead."
Darmstadt 98,Leverkusen,0,highlight,2,Borja Iglesias Quintas,40,0,shot,"[calm, building] Iglesias into the box, one chance to level this... [EXCITED] HERE IT IS! [SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering] [pause] [warmly] Borja Iglesias finds the net—Leverkusen strikes back, and the momentum shifts in this crucial forty-minute moment!"
Darmstadt 98,Leverkusen,0,highlight,3,Nathan Tella,51,1,shot,"[calm, building] Tella shapes to shoot from a tight angle... [EXCITED] he strikes it beautifully! [SHOUTING] GOOOAAL! BUUUT! [crowd cheering] [pause] [warmly] Nathan Tella with his second of the night—a brace, and one of just five he'd claim all season. Leverkusen utterly dominant."
Darmstadt 98,Leverkusen,0,intro,-1,,0,0,intro,"[calm, building] Willkommen zur BayArena, wo Die Werkself heute gegen Darmstadt 98 antreten. [EXCITED] Nathan Tella schreibt heute ein Doppelpack und führt Leverkusen zu einem überzeugenden 2-0 Sieg [warmly]."
Leverkusen,FSV Mainz 05,0,highlight,0,Granit Xhaka,2,1,shot,"[calm, building] Early pressure from Leverkusen, Xhaka probing...

[EXCITED] He strikes from that impossible angle—

[SHOUTING] GOOOAAAAAL! TOR! WUNDERBAR! [crowd cheering]

[pause]

[warmly] Granit Xhaka, one of just three for the season, and what a moment to find the net. Leverkusen strike first."
Leverkusen,FSV Mainz 05,0,highlight,1,Dominik Kohr,6,1,shot,"[calm, building] Kohr sees the space... [EXCITED] he strikes it! Difficult chance, but he's got it! [SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering] [pause] [warmly] Mainz level it in the sixth—Kohr finds the net when it matters most. GOAAAAAL!"
Leverkusen,FSV Mainz 05,0,highlight,2,Robert Andrich,67,1,shot,"[calm, building] Andrich circling at the edge... [EXCITED] he shifts, he strikes from an impossible angle— [SHOUTING] GOOOAAAAAL! TOOOOOR! [crowd cheering] [pause] [warmly] One of just four for the season, but what a moment—the winner arrives! TOOOOOR!"
Leverkusen,FSV Mainz 05,0,highlight,3,Jessic Ngankam,77,0,red_card,[SHOCKED] Ngankam sees red in the seventy-seventh minute! [gasps] Mainz down to ten men [dramatically]
Leverkusen,FSV Mainz 05,0,intro,-1,,0,0,intro,"[calm, building] Willkommen zur BayArena, wo Bayer Leverkusen heute gegen FSV Mainz 05 antreten. [EXCITED] Die Werkself sichert sich einen hart erkämpften 2-1-Sieg, nachdem Mainz auf zehn Mann reduziert wurde — Xhaka und Andrich treffen für die Gastgeber [warmly]."
Leverkusen,Wolfsburg,0,highlight,0,Florian Wirtz,21,0,shot,"[calm, building] Wirtz reads the space perfectly... [EXCITED] cuts inside, difficult angle, HERE WE GO! [SHOUTING] GOOOAAL! TOOOOOR! [crowd cheering] [pause] [warmly] One of his eleven for the campaign—the creative heartbeat strikes again. TOOOOOR!"
Leverkusen,Wolfsburg,0,highlight,1,Moritz Jenz,27,0,red_card,"[gasps] Moritz Jenz sees red in the twenty-seventh minute, [SHOCKED] Wolfsburg down to ten men! [dramatically]"
Leverkusen,Wolfsburg,0,highlight,2,Nathan Tella,36,1,shot,"[calm, building] The ball finds Tella at the far post... [EXCITED] he's there, clinical finish needed... [SHOUTING] GOOOAAL! BUUUT! [crowd cheering] [pause] [warmly] Nathan Tella strikes first — one of five crucial goals in Leverkusen's campaign. The breakthrough arrives."
Leverkusen,Wolfsburg,0,highlight,3,Piero Martín Hincapié Reyna,39,0,shot,"[calm, building] Hincapié takes the chance at the edge—a rare moment for the defender. [EXCITED] He strikes it cleanly, and— [SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering] [pause] [warmly] One of his one for the season, and what a precious strike it proves to be.

GOAAAAAL!"
Leverkusen,Wolfsburg,0,highlight,4,Florian Wirtz,85,1,shot,"[calm, building] Wirtz circling, looking for space in the eighty-fifth... [EXCITED] he strikes it! [SHOUTING] GOOOAAAAAL! TOOOOOR! [crowd cheering] [pause] [warmly] One of his eleven for the campaign—Florian Wirtz seals it. Leverkusen, utterly in command."
Leverkusen,Wolfsburg,0,intro,-1,,0,0,intro,"[calm, building] Willkommen zur BayArena, where Bayer Leverkusen—Die Werkself—host Wolfsburg in a decisive encounter. [EXCITED] Wolfsburg's hopes crumble as they're reduced to ten men, but Tella and Wirtz strike decisively to seal a commanding 2-0 victory."
Freiburg,Leverkusen,0,highlight,0,Florian Wirtz,1,1,shot,"[calm, building] Wirtz circling... sensing the opening...

[EXCITED] He cuts inside from that impossible angle—

[SHOUTING] GOOOAAL! TOOOOOR! [crowd cheering]

[pause]

[warmly] One of his eleven for the campaign. Leverkusen strike first, and Wirtz has already written the opening chapter of their afternoon."
Freiburg,Leverkusen,0,highlight,1,Ritsu Doan,9,1,shot,"[calm, building] Doan finds space on the angle... [EXCITED] cuts inside, the chance is there! [SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering] [pause] [warmly] Ritsu Doan levels it in the ninth — Freiburg strike back, though Leverkusen's hunger would prove relentless today."
Freiburg,Leverkusen,0,highlight,2,Adam Hložek,39,1,shot,"[calm, building] Here's the moment... [EXCITED] Hközlek with the chance, clinical finish from close range— [SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering] [pause] [warmly] And there it is—the winner! Leverkusen take the lead, and Hközlek delivers when it matters most. GOAAAAAL!"
Freiburg,Leverkusen,0,highlight,3,Patrik Schick,52,1,shot,"[calm, building] Schick prowling that right channel, the angle impossibly tight... [EXCITED] he cuts inside, composure absolute— [SHOUTING] GOOOAAAAAL! GÓL! Neuvěřitelné! [crowd cheering] [pause] [warmly] One of seven for the season. Leverkusen absolutely ruthless now, 3-1, and Schick clinical as ever."
Freiburg,Leverkusen,0,highlight,4,Yannik Keitel,78,1,shot,"[calm, building] Keitel shapes to strike from a tight angle... [EXCITED] HERE IT IS! [SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering] [pause] [warmly] Yannik Keitel finds the net in the 78th—a difficult finish, and Freiburg pull one back to make it 2-3. A moment of pride for the visitors, though Leverkusen hold on. GOAAAAAL!"
Freiburg,Leverkusen,0,intro,-1,,0,0,intro,"[calm, building] Willkommen zur BayArena, wo Die Werkself heute gegen Freiburg antreten werden. [EXCITED] Wirtz, Hložek und Schick treffen für Leverkusen in diesem spektakulären 3:2-Sieg! [warmly]"
Leverkusen,Ein Frankfurt,0,highlight,0,Granit Xhaka,11,1,shot,"[calm, building] Xhaka circling at the edge... [EXCITED] he shifts, he shoots from that impossible angle— [SHOUTING] GOOOAAAAAL! TOR! WUNDERBAR! [crowd cheering] [pause] [warmly] One of just three for the season, and what a moment to strike—Leverkusen level in the eleventh minute."
Leverkusen,Ein Frankfurt,0,highlight,1,Hugo Ekitike,31,1,shot,"[calm, building] Ekitike shapes to shoot from a difficult angle... [EXCITED] he commits, he strikes it! [SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering] [pause] [warmly] Hugo Ekitike levels it for Frankfurt in the thirty-first—a moment of defiance, though the mountain before them grows ever steeper.

GOAAAAAL!"
Leverkusen,Ein Frankfurt,0,highlight,2,Patrik Schick,43,1,shot,"[calm, building] Schick threads the needle, one chance to pull them level... [EXCITED] HERE HE COMES, THE CLINICAL FINISH— [SHOUTING] GOOOAAAAAL! GÓL! Neuvěřitelné! [crowd cheering] [pause] [warmly] One of seven for the season—Schick with that ruthless striker's touch when it mattered most."
Leverkusen,Ein Frankfurt,0,highlight,3,Exequiel Alejandro Palacios,57,1,shot,"[calm, building] Palacios into the box, clinical finish... [EXCITED] HERE IT IS! [SHOUTING] GOOOAAAAAL! GOLAZO! [crowd cheering] [pause] [warmly] One of four for Palacios this season—the Argentine midfielder adds his mark to Leverkusen's dominant display."
Leverkusen,Ein Frankfurt,0,highlight,4,Jeremie Frimpong,76,1,shot,"[calm, building] Frimpong advancing down the right flank, possibilities opening...

[EXCITED] He cuts inside, the space is there—

[SHOUTING] GOAAAAAL! DOELPUNT! [crowd cheering]

[pause]

[warmly] One of nine for Frimpong this season, the marauding fullback strikes again. Leverkusen extending their command."
Leverkusen,Ein Frankfurt,0,highlight,5,Victor Okoh Boniface,88,1,shot,"[calm, building] The ball finds Boniface at the far post, clinical finish incoming...

[EXCITED] Here he comes, one final thrust—

[SHOUTING] GOOOAAL! GOAL-O! OYA! [crowd cheering]

[pause]

[warmly] One of his fourteen for the campaign. Boniface, relentless to the end."
Leverkusen,Ein Frankfurt,0,intro,-1,,0,0,intro,"[calm, building] Willkommen in der BayArena, wo Die Werkself heute gegen Eintracht Frankfurt antreten. [pause] Xhaka, Palacios und Frimpong schreiben heute ein Tor-Fest – fünf Treffer für Leverkusen [warmly] in einem dominanten Auftritt."
Hoffenheim,Leverkusen,0,highlight,0,Maximilian Beier,32,1,shot,"[calm, building] Beier finds space in the box... [EXCITED] he strikes it cleanly! [SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering] [pause] [warmly] Maximilian Beier, the 32nd minute—Hoffenheim pulls one back, but Leverkusen's resilience will ultimately prevail today.

GOAAAAAL!"
Hoffenheim,Leverkusen,0,highlight,1,Robert Andrich,87,1,shot,"[calm, building] Andrich circling, sensing the moment in the eighty-seventh... [EXCITED] He strikes! [SHOUTING] GOOOAAAAAL! TOOOOOR! [crowd cheering] [pause] [warmly] One of his precious four for the season—the midfielder's difficult finish levels it. Leverkusen breathing again. TOOOOOR!"
Hoffenheim,Leverkusen,0,highlight,2,Patrik Schick,90,1,shot,"[calm, building] Schick poised in the box, one chance to make it matter...

[EXCITED] He takes it—clinical, decisive—

[SHOUTING] GOOOAAL! GÓL! Neuvěřitelné! [crowd cheering]

[pause]

[warmly] One of his seven for the season. Leverkusen restore parity in the dying light. That's the Schick we needed."
Hoffenheim,Leverkusen,0,intro,-1,,0,0,intro,"[calm, building] Welcome to the BayArena, where Die Werkself faced a stern test against Hoffenheim today. [EXCITED] Andrich and Schick found the net in a hard-fought 2-1 victory that required every ounce of character [warmly] from Leverkusen."
Leverkusen,Freiburg,0,highlight,0,Florian Wirtz,1,1,shot,"[calm, building] Wirtz shapes it from that impossible angle... [EXCITED] here's the chance! [SHOUTING] GOOOAAL! TOOOOOR! [crowd cheering] [pause] [warmly] One of his eleven for the campaign—the creative heartbeat strikes first. TOOOOOR!"
Leverkusen,Freiburg,0,highlight,1,Ritsu Doan,9,1,shot,"[calm, building] Doan finds space at the edge of the box, ninth minute, a chance to level... [EXCITED] He shifts, he shoots from that difficult angle— [SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering] [pause] [warmly] Ritsu Doan equalises for Freiburg, but this comeback remains incomplete as Leverkusen's firepower proves decisive today.

GOAAAAAL!"
Leverkusen,Freiburg,0,highlight,2,Adam Hložek,39,1,shot,"[calm, building] Hložek finds space at the edge of the box... [EXCITED] he strikes it cleanly, clinical finish! [SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering] [pause] [warmly] Adam Hložek pulls one back—Leverkusen fighting, believing in this comeback.

GOAAAAAL!"
Leverkusen,Freiburg,0,highlight,3,Patrik Schick,52,1,shot,"[calm, building] Schick prowling at the edge... [EXCITED] cuts inside, angles narrowing, [SHOUTING] GOOOAAL! GÓL! Neuvěřitelné! [crowd cheering] [pause] [warmly] Clinical finish from a difficult position—one of his seven for the campaign, and Leverkusen breathing again at the Schwarzwald-Stadion."
Leverkusen,Freiburg,0,highlight,4,Yannik Keitel,78,1,shot,"[calm, building] Keitel shapes it from a tight angle... [EXCITED] here's the chance, the strike comes in! [SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering] [pause] [warmly] Freiburg turn it around in the 78th minute — Keitel with the difficult finish, and they lead 3-2. But this Leverkusen side won't break. GOAAAAAL!"
Leverkusen,Freiburg,0,intro,-1,,0,0,intro,"[calm, building] Willkommen in der BayArena, wo Die Werkself heute gegen Freiburg antreten. [EXCITED] Wirtz, Hložek und Schick treffen in einem spektakulären 3:2-Sieg! [warmly]"
Leverkusen,Dortmund,0,highlight,0,Jeremie Frimpong,7,0,shot,"[calm, building] Frimpong charges forward, the fullback sensing opportunity... [EXCITED] he strikes from distance, [SHOUTING] GOAAAAAL! DOELPUNT! [crowd cheering] [pause] [warmly] One of his nine for the campaign—the marauding fullback breaks the deadlock early!"
Leverkusen,Dortmund,0,highlight,1,Nathan Tella,67,0,shot,"[calm, building] Tella in close, dominant position... [EXCITED] clinical finish incoming— [SHOUTING] GOAAAAAL! BUUUT! [crowd cheering] [pause] [warmly] One of his five for the campaign, the impact sub delivers in the 67th minute."
Leverkusen,Dortmund,0,highlight,2,Niclas Füllkrug,80,1,shot,"[calm, building] Füllkrug shapes it... eighty minutes... [EXCITED] difficult chance, he strikes! [SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering] [pause] [warmly] Niclas Füllkrug! Dortmund level it in the eightieth—a moment of defiance when they needed it most.

GOAAAAAL!"
Leverkusen,Dortmund,0,highlight,3,Josip Stanišić,96,1,shot,"[calm, building] Stanišić at the edge... the chance is there... [EXCITED] he strikes it—difficult angle, he MUST find it— [SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering] [pause] [warmly] Ninety-six minutes of drama, and Leverkusen refuse to break. GOAAAAAL!"
Leverkusen,Dortmund,0,intro,-1,,0,0,intro,"[calm, building] Willkommen in der BayArena, wo Die Werkself und Borussia Dortmund sich in diesem entscheidenden Duell gegenüberstehen. [EXCITED] Stanišić prägt dieses Spiel mit seinen Toren und schreibt eine unvergessliche Geschichte [warmly] an diesem denkwürdigen Abend."
Werder Bremen,Leverkusen,0,highlight,0,Victor Okoh Boniface,24,1,shot,"[calm, building] Boniface prowls at the edge of the box... [EXCITED] here's the chance! [SHOUTING] GOOOAAL! GOAL-O! OYA! [crowd cheering] [pause] [warmly] One of fourteen for the season—clinical finishing from the Leverkusen striker."
Werder Bremen,Leverkusen,0,highlight,1,Granit Xhaka,59,1,shot,"[calm, building] Xhaka shapes to shoot from an impossible angle... [EXCITED] he winds up, the ball bends impossibly— [SHOUTING] GOOOAAAAAL! TOR! WUNDERBAR! [crowd cheering] [pause] [warmly] And there it is—one of his precious three for the season. Granit Xhaka, the metronome, striking gold. Two-nil."
Werder Bremen,Leverkusen,0,highlight,2,Florian Wirtz,67,1,shot,"[calm, building] Here from an impossible angle, Wirtz threading the needle... [EXCITED] He finds it! [SHOUTING] GOOOAAL! TOOOOOR! [crowd cheering] [pause] [warmly] One of his eleven for the season—that improbable finish, pure artistry from Leverkusen's creative heartbeat. TOOOOOR!"
Werder Bremen,Leverkusen,0,highlight,3,Florian Wirtz,82,1,shot,"[calm, building] Wirtz circles into space, the defense fragmented... [EXCITED] Here's the chance! [SHOUTING] GOOOAAL! TOOOOOR! [crowd cheering] [pause] [warmly] One of his eleven for the campaign—Florian finding the net again in this dominant display. Leverkusen simply unstoppable tonight."
Werder Bremen,Leverkusen,0,highlight,4,Florian Wirtz,89,1,shot,"[calm, building] Wirtz circling, one final chance in the dying light...

[EXCITED] He cuts inside, the difficult angle—

[SHOUTING] GOAAAAAL! TOOOOOR! [crowd cheering]

[pause]

[warmly] And there's his hat-trick! One of eleven goals this remarkable season. Wirtz seals it—5-0. Pure class."
Werder Bremen,Leverkusen,0,intro,-1,,0,0,intro,"[calm, building] Willkommen zur BayArena, wo Bayer Leverkusen heute gegen Werder Bremen antreten wird. [EXCITED, warmly] Die Werkself haben einen explosiven Abend vor sich — Florian Wirtz schnürt den Hattrick!"
Wolfsburg,Leverkusen,0,highlight,0,Florian Wirtz,21,0,shot,"[calm, building] Here's Wirtz, difficult angle, twenty-first minute... [EXCITED] he shapes it, curls it toward the far post— [SHOUTING] TOOOOOR! TOOOOOR! [crowd cheering] [pause] [warmly] One of his eleven for the campaign—Leverkusen's creative heartbeat strikes again. TOOOOOR!"
Wolfsburg,Leverkusen,0,highlight,1,Nathan Tella,36,1,shot,"[calm, building] Tella sensing the opportunity here in the thirty-sixth... [EXCITED] he strikes it clinical, close range! [SHOUTING] GOOOAAAAAL! BUUUT! [crowd cheering] [pause] [warmly] One of five crucial goals for Nathan this campaign — the impact sub delivers when it matters most."
Wolfsburg,Leverkusen,0,highlight,2,Piero Martín Hincapié Reyna,39,0,shot,"[calm, building] Hincapié sees the space, difficult angle here... [EXCITED] he strikes it! [SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering] [pause] [warmly] One of his one for the season—the defender writes himself into the story, Leverkusen in command.

GOAAAAAL!"
Wolfsburg,Leverkusen,0,highlight,3,Florian Wirtz,85,1,shot,"[calm, building] Wirtz threads the needle in the eighty-fifth... [EXCITED] cuts inside, difficult angle, [SHOUTING] GOOOAAAAAL! TOOOOOR! [crowd cheering] [pause] [warmly] One of his eleven for the campaign — Leverkusen's creative heartbeat seals it. TOOOOOR!"
Wolfsburg,Leverkusen,0,intro,-1,,0,0,intro,"[calm, building] Willkommen zur BayArena, where Bayer Leverkusen—Die Werkself—face Wolfsburg in a decisive encounter. [EXCITED] Wirtz and Tella find the net as ten-man Wolfsburg crumbles [warmly] in a commanding 2-0 display."
FSV Mainz 05,Leverkusen,0,highlight,0,Granit Xhaka,2,1,shot,"[calm, building] Xhaka circling... [EXCITED] he shifts left, the angle impossible— [SHOUTING] GOOOAAL! TOR! WUNDERBAR! [crowd cheering] [pause] [warmly] One of just three for the season, and what a moment to strike—Leverkusen ahead!"
FSV Mainz 05,Leverkusen,0,highlight,1,Dominik Kohr,6,1,shot,"[calm, building] Kohr circling, the chance arrives...
[EXCITED] He strikes it! Difficult! Curling!
[SHOUTING] GOAAAAAL! GOAAAAAL! [crowd cheering]
[pause]
[warmly] Mainz level it in the sixth—Kohr with the composure to finish. GOAAAAAL! A moment of parity, though the afternoon would tell another story."
